Part,X,Y,Rotation,Side,Type,XSize,YSize,Value,Footprint
C60,1228.8582677165355,3698.2423228346456,180,top,SMD,93.33503937007875,34.27992125984252,100nF,0603
C57,1107.1145669291338,4030.4127952755907,180,top,SMD,93.33503937007875,34.27992125984252,1nF,0603
R2,2600.3937007874015,1584.6456692913387,90,top,SMD,93.33503937007875,34.27992125984252,10K,0603
C55,1106.4881889763778,3979.231692913386,180,top,SMD,93.33503937007875,34.27992125984252,100nF,0603
R42,1482.283464566929,987.7812992125985,270,top,SMD,93.33503937007875,34.27992125984252,10K,0603
D5,601.3779527559055,2945.8661417322833,270,top,SMD,141.73228346456693,43.30708661417323,15pF,0805 (2012 metric)
C23,2612.2047244094488,1087.9294488188975,270,top,SMD,109.08307086614174,51.996456692913384,4.7uF,0805
R25,1986.6281496062993,1669.291338582677,270,top,SMD,93.33503937007875,34.27992125984252,10K,0603
R35,2373.031496062992,4289.370078740158,270,top,SMD,93.33503937007875,34.27992125984252,10K,0603
D2,1204.724409448819,4699.8031496062995,270,top,SMD,114.1732283464567,141.73228346456693,,SOT-23-3
C66,1456.454094488189,3498.031496062992,90,top,SMD,93.33503937007875,34.27992125984252,100nF,0603
R44,2578.740157480315,1406.4960629921259,0,top,SMD,93.33503937007875,34.27992125984252,DNP,0603
R29,130.9054724409449,2309.0551181102364,0,top,SMD,93.33503937007875,34.27992125984252,10K,0603
U157,2340.551181102362,595.4724409448819,270,top,SMD,120.07874015748031,118.11015748031497,,SOT-23
R18,1409.4488188976377,3814.9606299212596,90,top,SMD,93.33503937007875,34.27992125984252,100,0603
U143,1709.6456692913387,875.9842519685039,0,top,SMD,271.8976377952756,192.54984251968503,,SOP65P640X120-16N
C79,943.321062992126,2376.6746456692913,180,top,SMD,93.33503937007875,34.27992125984252,100nF,0603
SW97,274.6062992125984,2546.259842519685,270,top,SMD,232.28346456692913,440.9448818897638,,SW_6MM2_6MM2_SMT_4
C78,502.44338582677165,1815.9448818897638,180,top,SMD,93.33503937007875,34.27992125984252,100nF,0603
R36,1549.2125984251968,1259.6037401574804,90,top,SMD,93.33503937007875,34.27992125984252,1.8K,0603
R17,977.3622047244095,4167.7305118110235,270,top,SMD,93.33503937007875,34.27992125984252,11K,0603
U79,1442.9133858267717,3238.1889763779527,270,top,SMD,238.1888188976378,399.60622047244095,,
U118,467.5196850393701,1470.4724409448818,180,top,SMD,173.70582677165353,93.10740157480315,,TSSOP8
U64,1313.976377952756,4223.832874015748,270,top,SMD,272.0,240.0,,SOP64P600X165-20N
C96,2212.767401574803,2285.840748031496,0,top,SMD,109.08307086614174,51.996456692913384,4.7uF,0805
C2,1131.8897637795276,2025.9982283464567,180,top,SMD,93.33503937007875,34.27992125984252,100nF,0603
